,ids,engag
552,18058397566127533,99
553,18048198565147001,40
554,18082272361012930,62
555,17867081338427271,32
556,17898606160347581,69
557,17900139634344041,42
558,18054305458092202,115
559,17848929751498146,85
560,17890735750366015,39
561,17847548149503339,24
562,17865075715436285,76
563,18065120578115038,66
564,17854091656474243,54
565,18085077385024087,74
566,17888091337375150,45
567,17895500563361701,64
568,17892297463367589,55
569,18069318823128424,88
570,18007292020233151,66
571,17990400052250022,252
572,18050541199157124,64
573,17852266447495799,54
574,18007198813243392,92
575,17853791638495564,132
576,18059335921081079,43
577,17890406425375408,74
578,18088270582047522,75
579,17919983545310407,132
580,18089103715045023,231
581,17851236655507383,154
582,18059929819095346,95
583,18010553989234201,68
584,18087865330021655,285
585,18025160149203027,64
586,17873939449426234,72
587,17855274421499409,63
588,17986181560271477,197
589,17847669589545555,102
590,18071849476103410,46
591,17859926788472495,455
592,17852808178510180,33
593,18092910868027076,45
594,17874813736422292,46
595,18091780927055565,86
596,17859156634486743,274
597,18083990296075953,82
598,17881600165408838,114
599,17871974452441399,77
600,17865283351461663,73
601,18022578862221852,103
602,18013569334240319,38
603,17972448784302952,110
604,18049681885170716,81
605,17995905466261367,113
606,17867960542457605,264
607,18090885907064436,118
608,17925904459313089,45
609,17874237724441001,72
610,18066123175093686,71
611,18065105545133049,56
612,17856813967509787,62
613,17843951098618605,137
614,17991729379271209,34
615,17857123045520108,97
616,17892568366386894,77
617,17850886990560569,46
618,17905361440363299,157
619,18099292390038132,107
620,17851237576576631,171
621,17915096749341443,218
622,17871956902453602,61
623,17843855956630994,50
624,18069181486091596,57
625,17894275921384147,87
626,18099331384058999,48
627,18075810949122427,204
628,17865395935482791,76
629,18070954975136875,424
630,18100520470038394,44
631,18055362448173931,44
632,18021463672227534,105
633,18081650977103857,47
634,17925461323325721,60
635,18102793507050522,153
636,17891953969400236,37
637,18071445424082465,100
638,18020234569240353,53
639,17858060266550471,127
640,17926363090316727,202
641,17859003490547765,85
642,18072965824089304,105
643,17964564394293625,143
644,18093778192075666,32
645,18084417472117793,117
646,18032803363216401,62
647,18034086037223399,98
648,17845391998697773,77
649,18059383516197394,295
650,17886173089428401,42
651,18111897763016276,50
652,17878846258446504,62
653,17851175503653148,84
654,17847627493700225,125
655,17923940302338156,115
656,17887647805425413,102
657,17913761125362647,125
