,ids,impres,reach,saved,video_views
122,17880343285043909,0,0,1,0
123,17855027596173767,0,0,2,0
124,17857983718132623,0,0,0,0
125,17855619460165888,0,0,1,0
126,17868495874106399,0,0,2,0
127,17867730895123696,0,0,0,0
128,17880029461041057,0,0,1,0
129,17868957364118626,0,0,1,0
130,17869111015103900,0,0,0,0
131,17856129430175563,0,0,0,0
132,17869090261112115,0,0,0,0
133,17869727656096552,0,0,1,0
134,17880956455002538,0,0,0,0
135,17867401426082122,0,0,1,0
136,17857713274152105,0,0,1,0
137,17882546323054127,0,0,1,0
138,17857283149167085,0,0,3,0
139,17858512411146738,0,0,0,0
140,17857606912163426,0,0,0,0
141,17868097762085759,0,0,0,0
142,17860500976137946,0,0,0,0
143,17860531543136501,0,0,0,0
144,17882312944057532,0,0,0,0
145,17868456685082755,0,0,1,0
146,17860785901140517,0,0,2,0
147,17871332497098825,0,0,2,0
148,17883407959058365,0,0,0,0
149,17859265174153459,0,0,0,0
150,17874771739077891,0,0,0,0
151,17875115014078703,0,0,0,0
152,17870082262083964,0,0,1,0
153,17885114311028062,0,0,0,0
154,17885828515039786,0,0,2,146
155,17885965519000495,0,0,0,0
156,17884827652044380,0,0,2,0
157,17886097168029178,0,0,1,0
158,17887071961044655,0,0,4,0
159,17861226088179291,0,0,1,0
160,17864635090142754,0,0,0,0
161,17861613727165631,0,0,2,0
162,17875553656129569,0,0,0,0
163,17887046782013542,0,0,0,0
164,17889200173034203,0,0,1,0
165,17873258818088038,0,0,0,0
166,17875376404120852,0,0,0,0
167,17888909857017728,0,0,1,0
168,17877631384118162,0,0,0,0
169,17877333367101068,0,0,1,0
170,17864510164176632,0,0,4,0
171,17884104073065983,0,0,0,158
172,17867313256134017,0,0,0,0
173,17891221750061537,0,0,2,0
174,17890256653037965,0,0,1,0
175,17890380409014258,0,0,0,0
176,17868297130133084,0,0,0,0
177,17850726478198098,0,0,2,0
178,17890615294019910,0,0,2,0
179,17877086635086044,0,0,1,0
180,17892982213036446,0,0,4,0
181,17852038324198285,0,0,1,188
182,17866147702192340,0,0,3,0
183,17878049488095503,0,0,0,0
184,17881151149111354,0,0,1,0
185,17870992315131650,0,0,0,0
186,17894738707031272,0,0,1,0
187,17882539948113715,0,0,1,0
188,17901033820044077,0,0,3,0
189,17894547103029460,0,0,1,0
190,17882384284102282,0,0,0,0
191,17872050658141067,0,0,0,0
192,17881807537127714,0,0,0,0
193,17887074658072901,0,0,0,0
194,17895257218019294,0,0,4,0
195,17882413003127222,0,0,2,0
196,17871707674178819,0,0,0,137
197,17884556239100122,0,0,4,0
198,17887918591073093,0,0,6,0
199,17872452322153293,0,0,1,0
200,17870752588163467,0,0,0,0
201,17872819516148202,0,0,1,0
202,17872582786191727,0,0,1,0
203,17870179315169461,0,0,0,0
204,17872826122180808,0,0,2,0
205,17883203809090763,0,0,2,0
206,17899660273050000,0,0,0,0
207,17883464701090676,0,0,4,0
208,17899387762026959,0,0,1,0
209,17892498154073445,0,0,1,0
210,17877005215143038,0,0,0,0
211,17892162316078693,0,0,0,0
212,17892209203076926,0,0,7,0
213,17874675514182240,0,0,1,0
214,17885277694084592,0,0,0,0
215,17900008747010852,0,0,1,0
216,17886759067089599,0,0,1,0
217,17902225687056690,0,0,2,0
218,17843537983213759,0,0,1,0
219,17877130189189341,0,0,1,0
220,17889362536122883,0,0,0,0
221,17875668997167233,0,0,2,0
222,17890145140099879,0,0,3,424
223,17877451522165678,0,0,0,0
224,17889133345127730,0,0,1,0
225,17863808782198781,0,0,0,0
226,17906339269027662,0,0,0,0
227,17904262105010670,0,0,0,0
228,17904958603058171,0,0,0,0
229,17889290887095147,0,0,6,0
230,17895208894109497,0,0,3,0
231,17881711834184795,0,0,1,0
232,17893662331106996,0,0,1,209
233,17906343697061988,0,0,1,285
234,17846878540219939,0,0,9,503
235,17906555242024297,0,0,5,0
236,17893393813112955,0,0,0,0
237,17881779433188407,0,0,0,0
238,17880283744153920,0,0,0,285
239,17906798479014703,0,0,16,641
240,17907700705023614,0,0,0,0
241,17881517104180636,0,0,9,0
242,17912058847037171,0,0,2,0
243,17890923496095697,0,0,1,0
244,17906917252021044,0,0,18,519
245,17895411022108873,965,819,2,0
246,17908840708044811,1002,872,1,0
247,17884591990140385,976,819,0,0
248,17910573784003782,1194,1033,0,0
249,17868076603196484,1093,937,3,512
250,17851027876204570,1462,1223,8,0
251,17896354963117685,1005,844,1,0
252,17897140744103459,1034,901,2,0
253,17885896129132727,872,730,0,0
254,17893714783093563,892,770,2,0
255,17851037902223175,1055,903,3,0
256,17898213088097516,729,619,0,0
257,17884617391158760,1249,1049,6,0
258,17885686078145035,1178,967,1,0
259,17886087973144002,858,730,1,0
260,17882536603173154,1113,961,1,0
261,17898130834123625,1118,961,6,0
262,17898066223124826,697,585,1,0
263,17888844568141796,706,595,1,201
264,17853314101221116,842,719,0,0
265,17900755981111544,1114,979,2,0
266,17900539432115138,799,661,0,0
267,17886693763159345,792,635,1,0
268,17915195620045876,948,773,1,0
269,17855025217210772,778,657,0,0
270,17908250128079431,1143,969,3,0
271,17898688066095860,917,728,0,0
272,17900322211086050,1417,967,3,0
273,17904770302107586,2351,1872,8,0
274,17844548266233656,1145,972,1,0
275,17893632412182959,1571,1295,2,0
276,17860405351207476,1158,972,0,0
277,17919632383003798,949,788,0,0
278,17859667102220751,1814,1209,3,0
279,17919975040058508,978,838,1,0
280,17903114569082462,1009,875,0,0
281,17908475776115512,991,867,2,0
282,17923002964017061,665,561,0,195
283,17895263551157766,848,738,0,0
284,17928222571043264,1458,1056,1,0
285,17895087799177607,1211,977,3,0
