,email_contacts,follower_count,get_directions_clicks,impressions,phone_call_clicks,profile_views,reach,text_message_clicks,website_clicks
2018-09-12 07:00:00+00:00,0,40,0,873,0,56,537,0,0
2018-09-13 07:00:00+00:00,0,41,0,376,0,81,219,0,0
2018-09-14 07:00:00+00:00,0,38,0,909,0,61,623,0,1
2018-09-15 07:00:00+00:00,0,34,0,1094,0,59,841,0,0
2018-09-16 07:00:00+00:00,0,32,0,3792,0,86,2181,0,1
2018-09-17 07:00:00+00:00,0,38,0,760,0,79,619,0,1
2018-09-18 07:00:00+00:00,0,37,0,239,0,82,164,0,0
2018-09-19 07:00:00+00:00,0,34,0,208,0,101,122,0,2
2018-09-20 07:00:00+00:00,0,52,0,201,0,116,107,0,4
2018-09-21 07:00:00+00:00,0,61,0,226,0,82,119,0,1
2018-09-22 07:00:00+00:00,0,42,0,227,0,73,110,0,0
2018-09-23 07:00:00+00:00,0,32,0,1336,0,68,951,0,1
2018-09-24 07:00:00+00:00,0,51,0,2574,0,94,1643,0,1
2018-09-25 07:00:00+00:00,0,42,0,548,0,66,350,0,2
2018-09-26 07:00:00+00:00,0,36,0,116,0,43,57,0,1
2018-09-27 07:00:00+00:00,0,26,0,997,0,34,785,0,1
2018-09-28 07:00:00+00:00,0,39,0,1700,0,66,1168,0,1
2018-09-29 07:00:00+00:00,1,36,0,504,0,62,331,0,0
2018-09-30 07:00:00+00:00,2,36,0,158,0,56,100,0,1
2018-10-01 07:00:00+00:00,0,42,0,784,0,83,533,0,0
2018-10-02 07:00:00+00:00,0,47,0,1404,0,59,834,0,1
2018-10-03 07:00:00+00:00,0,50,0,1178,0,76,795,0,4
2018-10-04 07:00:00+00:00,0,40,0,442,0,64,317,0,0
2018-10-05 07:00:00+00:00,0,23,0,860,0,47,592,0,2
2018-10-06 07:00:00+00:00,0,41,0,376,0,45,286,0,1
2018-10-07 07:00:00+00:00,0,32,0,1040,0,52,608,0,0
2018-10-08 07:00:00+00:00,0,34,0,667,0,58,356,0,0
2018-10-09 07:00:00+00:00,0,42,0,1404,0,56,977,0,2
2018-10-10 07:00:00+00:00,0,30,0,904,0,65,628,0,6
2018-10-11 07:00:00+00:00,0,29,0,530,0,57,367,0,4
2018-10-12 07:00:00+00:00,0,34,0,827,0,36,584,0,1
2018-10-13 07:00:00+00:00,0,31,0,1591,0,53,939,0,0
2018-10-14 07:00:00+00:00,0,31,0,962,0,57,681,0,0
2018-10-15 07:00:00+00:00,0,35,0,206,0,44,155,0,2
2018-10-16 07:00:00+00:00,0,40,0,122,0,56,35,0,0
2018-10-17 07:00:00+00:00,0,33,0,82,0,60,28,0,1
2018-10-18 07:00:00+00:00,0,39,0,714,0,57,580,0,0
2018-10-19 07:00:00+00:00,0,41,0,201,0,62,142,0,0
2018-10-20 07:00:00+00:00,0,36,0,817,0,43,632,0,0
2018-10-21 07:00:00+00:00,0,30,0,1205,0,51,832,0,0
2018-10-22 07:00:00+00:00,0,35,0,348,0,55,262,0,0
2018-10-23 07:00:00+00:00,0,32,0,143,0,117,92,0,0
2018-10-24 07:00:00+00:00,0,35,0,785,0,42,463,0,0
2018-10-25 07:00:00+00:00,0,28,0,392,0,44,253,0,1
2018-10-26 07:00:00+00:00,0,31,0,144,0,42,84,0,0
2018-10-27 07:00:00+00:00,0,32,0,60,0,32,38,0,0
2018-10-28 07:00:00+00:00,0,27,0,989,0,41,678,0,0
2018-10-29 07:00:00+00:00,0,29,0,883,0,40,665,0,2
2018-10-30 07:00:00+00:00,0,37,0,1633,0,52,945,0,1
2018-10-31 07:00:00+00:00,0,32,0,720,0,43,548,0,0
2018-11-01 07:00:00+00:00,0,29,0,519,0,37,302,0,0
2018-11-02 07:00:00+00:00,0,30,0,343,0,30,208,0,0
2018-11-03 07:00:00+00:00,0,29,0,922,0,19,577,0,1
2018-11-04 07:00:00+00:00,0,34,0,1441,0,17,925,0,0
2018-11-05 08:00:00+00:00,0,29,1,362,0,39,268,0,0
2018-11-06 08:00:00+00:00,0,15,0,85,0,19,52,0,1
2018-11-07 08:00:00+00:00,0,8,0,1136,0,7,929,0,0
2018-11-08 08:00:00+00:00,0,8,0,2150,0,15,909,0,3
2018-11-09 08:00:00+00:00,0,111,0,1269,0,17,435,0,7
2018-11-10 08:00:00+00:00,0,17,0,984,0,30,575,0,6
2018-11-11 08:00:00+00:00,0,135,1,1195,0,52,681,0,2
2018-11-12 08:00:00+00:00,0,30,0,1736,0,77,825,0,3
2018-11-13 08:00:00+00:00,0,167,0,1219,0,134,543,0,9
2018-11-14 08:00:00+00:00,0,29,0,1197,0,66,764,0,4
2018-11-15 08:00:00+00:00,0,33,0,770,0,62,508,0,3
2018-11-16 08:00:00+00:00,0,149,0,823,0,44,527,0,1
2018-11-17 08:00:00+00:00,0,124,0,609,0,39,367,0,2
