,0,1
123,17855027596173767,"[65, 0, 0, 2]"
124,17857983718132623,"[93, 0, 0, 0]"
125,17855619460165888,"[74, 0, 0, 1]"
126,17868495874106399,"[82, 0, 0, 2]"
127,17867730895123696,"[50, 0, 0, 0, 0]"
128,17880029461041057,"[57, 0, 0, 1]"
129,17868957364118626,"[78, 0, 0, 1]"
130,17869111015103900,"[57, 0, 0, 0]"
131,17856129430175563,"[68, 0, 0, 0]"
132,17869090261112115,"[53, 0, 0, 0]"
133,17869727656096552,"[70, 0, 0, 1]"
134,17880956455002538,"[47, 0, 0, 0]"
135,17867401426082122,"[67, 0, 0, 1]"
136,17857713274152105,"[37, 0, 0, 1]"
137,17882546323054127,"[82, 0, 0, 1]"
138,17857283149167085,"[64, 0, 0, 3]"
139,17858512411146738,"[69, 0, 0, 0]"
140,17857606912163426,"[47, 0, 0, 0]"
141,17868097762085759,"[31, 0, 0, 0]"
142,17860500976137946,"[34, 0, 0, 0]"
143,17860531543136501,"[44, 0, 0, 0]"
144,17882312944057532,"[46, 0, 0, 0, 0]"
145,17868456685082755,"[38, 0, 0, 1, 0]"
146,17860785901140517,"[40, 0, 0, 2]"
147,17871332497098825,"[121, 0, 0, 2]"
148,17883407959058365,"[47, 0, 0, 0]"
149,17859265174153459,"[31, 0, 0, 0]"
150,17874771739077891,"[53, 0, 0, 0]"
151,17875115014078703,"[65, 0, 0, 0]"
152,17870082262083964,"[65, 0, 0, 1, 0]"
153,17885114311028062,"[75, 0, 0, 0]"
154,17885828515039786,"[29, 0, 0, 2, 146]"
155,17885965519000495,"[81, 0, 0, 0, 0]"
156,17884827652044380,"[53, 0, 0, 2]"
157,17886097168029178,"[59, 0, 0, 1]"
158,17887071961044655,"[58, 0, 0, 4]"
159,17861226088179291,"[51, 0, 0, 1]"
160,17864635090142754,"[30, 0, 0, 0]"
161,17861613727165631,"[79, 0, 0, 2]"
162,17875553656129569,"[53, 0, 0, 0]"
163,17887046782013542,"[54, 0, 0, 0]"
164,17889200173034203,"[48, 0, 0, 1, 0]"
165,17873258818088038,"[53, 0, 0, 0]"
166,17875376404120852,"[70, 0, 0, 0]"
167,17888909857017728,"[57, 0, 0, 1]"
168,17877631384118162,"[53, 0, 0, 0]"
169,17877333367101068,"[46, 0, 0, 1]"
170,17864510164176632,"[114, 0, 0, 4]"
171,17884104073065983,"[28, 0, 0, 0, 158]"
172,17867313256134017,"[49, 0, 0, 0]"
173,17891221750061537,"[69, 0, 0, 2]"
174,17890256653037965,"[25, 0, 0, 1]"
175,17890380409014258,"[41, 0, 0, 0]"
176,17868297130133084,"[51, 0, 0, 0]"
177,17850726478198098,"[78, 0, 0, 2]"
178,17890615294019910,"[24, 0, 0, 2]"
179,17877086635086044,"[58, 0, 0, 1]"
180,17892982213036446,"[73, 0, 0, 4]"
181,17852038324198285,"[30, 0, 0, 1, 188]"
182,17866147702192340,"[128, 0, 0, 3]"
183,17878049488095503,"[74, 0, 0, 0]"
184,17881151149111354,"[64, 0, 0, 1, 0]"
185,17870992315131650,"[66, 0, 0, 0]"
186,17894738707031272,"[100, 0, 0, 1]"
187,17882539948113715,"[79, 0, 0, 1]"
188,17901033820044077,"[49, 0, 0, 3]"
189,17894547103029460,"[37, 0, 0, 1]"
190,17882384284102282,"[53, 0, 0, 0]"
191,17872050658141067,"[74, 0, 0, 0]"
192,17881807537127714,"[64, 0, 0, 0]"
193,17887074658072901,"[46, 0, 0, 0]"
194,17895257218019294,"[59, 0, 0, 4, 0]"
195,17882413003127222,"[73, 0, 0, 2]"
196,17871707674178819,"[23, 0, 0, 0, 137]"
197,17884556239100122,"[107, 0, 0, 4]"
198,17887918591073093,"[85, 0, 0, 6]"
199,17872452322153293,"[53, 0, 0, 1, 0]"
200,17870752588163467,"[60, 0, 0, 0]"
201,17872819516148202,"[70, 0, 0, 1]"
202,17872582786191727,"[116, 0, 0, 1]"
203,17870179315169461,"[46, 0, 0, 0]"
204,17872826122180808,"[86, 0, 0, 2]"
205,17883203809090763,"[48, 0, 0, 2]"
206,17899660273050000,"[56, 0, 0, 0]"
207,17883464701090676,"[85, 0, 0, 4]"
208,17899387762026959,"[64, 0, 0, 1]"
209,17892498154073445,"[69, 0, 0, 1]"
210,17877005215143038,"[44, 0, 0, 0]"
211,17892162316078693,"[37, 0, 0, 0, 0]"
212,17892209203076926,"[178, 0, 0, 7]"
213,17874675514182240,"[75, 0, 0, 1]"
214,17885277694084592,"[45, 0, 0, 0]"
215,17900008747010852,"[43, 0, 0, 1]"
216,17886759067089599,"[65, 0, 0, 1]"
217,17902225687056690,"[99, 0, 0, 2]"
